parameter,value
p1_name,Husband
p2_name,Wife
p1_start_age,65
p2_start_age,61
end_simulation_age,95
inflation_rate,0.03
annual_spend_goal,200000
filing_status,MFJ
p1_employment_income,150000
p1_employment_until_age,67
p2_employment_income,150000
p2_employment_until_age,65
p1_ss_amount,45000
p1_ss_start_age,70
p2_ss_amount,45000
p2_ss_start_age,65
p1_pension,0
p1_pension_start_age,67
p2_pension,0
p2_pension_start_age,65
bal_taxable,700000
bal_pretax_p1,1250000
bal_pretax_p2,1250000
bal_roth_p1,60000
bal_roth_p2,60000
growth_rate_taxable,0.07
growth_rate_pretax_p1,0.07
growth_rate_pretax_p2,0.07
growth_rate_roth_p1,0.07
growth_rate_roth_p2,0.07
taxable_basis_ratio,0.75
target_tax_bracket_rate,0.24
previous_year_taxes,50000